,anon_ch,subject_ch,created_ch,bucket_order_ch,bucket_name_ch,type_ch,uid_a_ch,uid_ch,id_ch,updated_ch,config_ch,assignment
10,no,"<p>Hi, my name is Jacob Mapel and I live in Sandy Springs, GA. I grew up in Pittsburgh, PA before moving to Georgia and received my undergraduate from UGA in mathematics. I work as a data scientist/software engineer at UPS. I have always been interested in how AI systems can learn through trial and error to become effective decision-making systems. I was particularly inspired in the RL space by the popular YouTube video <a href=""https://www.youtube.com/watch?v=qv6UVOQ0F44"" target=""_blank"">MarI/O</a> and look forward to learning more about the subject. This is my first course in the OMSCS program, and I hope that it will help me to become a better developer and data scientist.</p>",2019-08-20T00:38:33Z,34,Week 8/18 - 8/24,followup,,jzht4p8dvn51c9,jzj3nyekmk12yt,2019-08-20T00:38:33Z,{},logistics
11,no,<p>Hi my name is Sharan. I live in New Jersey and I work from AT&amp;T. I chose RL because I am interested in challenging myself with the topic of Machine Learning and this is my first class in the specialization.</p>,2019-08-20T00:42:10Z,34,Week 8/18 - 8/24,followup,,jzj3l9wevx4734,jzj3sm5hiw35f9,2019-08-20T00:42:10Z,{},logistics
12,no,"<p>I live in San Diego, CA. I am through the program now 20 months with AI, ML4T, ML, AI4R, and KBAI behind me. I am a full time software developer in the P&amp;C insurance industry. I am also a TA for 6263 and am also a cyber professional and acting CISO for some insurance general agencies.</p>",2019-08-20T00:42:49Z,34,Week 8/18 - 8/24,followup,,jc554vxmyuy3pt,jzj3tftgw8n5un,2019-08-20T00:42:49Z,{},logistics
13,no,"<p>Hi everyone, I&#39;m in the Washington D.C area working for Capital One. I&#39;m in the fraud department for credit cards where my team uses ML in our rules engine to stop the bad guys (decline fraudulent transactions). This is my first semester. As I progress through the ML specialization, I forward to learning the theory behind all our defenses!</p>",2019-08-20T01:07:26Z,34,Week 8/18 - 8/24,followup,,jzhdgaq99za3um,jzj4p3k398l2xf,2019-08-20T01:07:26Z,{},logistics
14,no,"<p>Hey Hey! I work around DC too, and it&#39;s my first semester as well!</p>",2019-08-20T18:07:23Z,34,Week 8/18 - 8/24,feedback,,jzhbewk46d19d,jzk54rto2kr4k8,2019-08-20T18:07:23Z,{},logistics
15,no,<p>Nice! Excited to dive in.</p>,2019-08-21T23:46:26Z,34,Week 8/18 - 8/24,feedback,,jzhdgaq99za3um,jzlwommby5c1os,2019-08-21T23:46:26Z,{},logistics
16,no,"I&#39;m in DC as well. Third course in the program, but my first in the ML specialization.",2019-08-28T11:53:41Z,33,Week 8/25 - 8/31,feedback,,jqi9pwn26my6g2,jzv7azwjjlpxo,2019-08-28T11:53:41Z,{},logistics
17,no,<p>I&#39;m Tyler.  I&#39;m a Data Scientist working for one of several trucking companies in Arkansas.  This is attempt #2 at this course for me.  I&#39;m excited to get started again!</p>,2019-08-20T01:12:10Z,34,Week 8/18 - 8/24,followup,,jqmfuaidej9155,jzj4v70l2as55,2019-08-20T01:12:10Z,{},logistics
18,no,"<p>My name is Alison Jing Huang and I live in San Francisco, CA.  I&#39;m a full time Analytics Consultant working in Healthcare industry. This is my 4th course and 1st ML specialization course, previously have taken SDP, IHI, and IIS. I am excited to learn about reinforcement learning in depth and its applications, and possibly use in conjunction with medical research.</p>",2019-08-20T01:18:19Z,34,Week 8/18 - 8/24,followup,,jqy7j43dlz4di,jzj53397qudyk,2019-08-20T01:18:19Z,{},logistics
19,no,"<p>Hi all! I&#39;m Will. Posting now from Seattle where I&#39;ve been for the past 3 months, but moving back to New York City next week. I took ML previously and got very intrigued with RL and the professors, so I decided to take RL now. I&#39;ve completed 7 classes in OMSCS and am hoping to be done soon! </p>",2019-08-20T01:18:28Z,34,Week 8/18 - 8/24,followup,,j6ljeqr3a3A,jzj53a7jev1138,2019-08-20T01:18:28Z,{},logistics
20,no,"<p></p><ul><li>Alex Matthers</li><li>New York / New England</li><li>Durham, North Carolina</li><li>Reinforcement learning is fascinating because it&#39;s so similar to how we humans learn.</li><li>Half way!</li><li>Physically sticking where I am</li></ul>",2019-08-20T01:20:02Z,34,Week 8/18 - 8/24,followup,,jhqqvwpyvXsQ,jzj55anym4x26d,2019-08-20T01:20:02Z,{},logistics
21,no,<p>Fascinating indeed.</p>,2019-08-20T01:28:37Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj5gcgm7pu5sj,2019-08-20T01:28:37Z,{},logistics
22,no,"<p>Hi my name is Shailesh Tappe. I live in Atlanta metro area working as Data Analyst with State Farm Insurance. I took DBMS Concept, DVA and ML4T. I learned a bit of RL in ML4T and I like to learn more it detail on RL. This is my third semester and still more to learn.  Like to explore more possibilities in learning, Yes as much as people in my social network.</p>",2019-08-20T01:25:35Z,34,Week 8/18 - 8/24,followup,,jqlnrz9q91d6ko,jzj5cftx1cq26l,2019-08-20T01:25:35Z,{},logistics
23,no,"<p>Hi my name is Marcus Chong and I am from California. I currently work at Boeing as a Network Software Engineer. I wanted to take RL because I want to learn more about Machine Learning. This is my first semester and I am looking forward to see what RL is all about. After RL, I plan to continue my journey through the OMSCS program.</p>
<p></p>
<p>Fun fact: When I am away from my computer, I like camping/hiking, snowboarding, and longboarding. </p>",2019-08-20T01:34:09Z,34,Week 8/18 - 8/24,followup,,jzimye522wr7ey,jzj5ngcitpe7j2,2019-08-20T01:34:09Z,{},logistics
24,no,"<p></p><ul><li>What&#39;s your name?
<ul><li>Rick Sprague</li></ul>
</li><li>Where are you from?
<ul><li>Flint, MI</li></ul>
</li><li>Where are you now?
<ul><li>Walled Lake, MI</li></ul>
</li><li>Why RL?
<ul><li>Sounds like a cool subject, maybe a requirement for the ML track</li></ul>
</li><li>How far into the program?
<ul><li>This is class #6</li></ul>
</li><li>Where next?
<ul><li>Not sure.</li></ul>
</li><li>Is there anything else you&#39;d like to share?
<ul><li>No</li></ul>
</li></ul>",2019-08-20T01:35:51Z,34,Week 8/18 - 8/24,followup,,ixpclzk97jg2fo,jzj5pn63d6n108,2019-08-20T01:35:51Z,{},logistics
25,no,"<p>What&#39;s your name? -- George<br />Where are you from? -- Montana<br />Where are you now? -- Nevada, Reno<br />Why RL? -- I&#39;ve been interesting in RL from all the machine learning or artificial intelligence class&#39;s I&#39;ve taken.<br />How far into the program? -- 8 classes completed, this one, and GA after.<br />Where next? -- no plans to move.<br />Is there anything else you&#39;d like to share? -- Lived just outside the arctic circle for 2 years. Ice fishing through 6ft of ice into the ocean is fun.</p>",2019-08-20T01:38:17Z,34,Week 8/18 - 8/24,followup,,ixty1midfufhd,jzj5ss6sls77b7,2019-08-20T01:38:17Z,{},logistics
26,no,"<p>I&#39;m Dalton, I&#39;m from Connecticut and I&#39;m still there. I chose Georgia Tech for its reputation with machine learning, and I&#39;m excited to learn about RL. This is my 3rd class. </p>",2019-08-20T01:44:40Z,34,Week 8/18 - 8/24,followup,,jl284xdcifz44g,jzj60z7tsoq2wc,2019-08-20T01:44:40Z,{},logistics
27,no,<p>Exciting topic for sure.</p>,2019-08-20T01:47:57Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj657rmx7t5km,2019-08-20T01:47:57Z,{},logistics
28,no,"<p>Hey Dalton, also currently in CT (went to UCONN and been here since). Enjoy the course, RL is awesome!</p>",2019-08-28T15:14:57Z,33,Week 8/25 - 8/31,feedback,,jl1acpoc4HA9,jzvehu6i4ds5mq,2019-08-28T15:14:57Z,{},logistics
29,no,"<p>Hi, my name is Jeff Hara, and I&#39;m a machine learning engineer at Mercari in Palo Alto. I&#39;m born and raised in the Bay Area, and I did my undergrad at Stanford last year with a bachelors in CS (AI track) and Philosophy. This is my first semester in OMSCS, so I&#39;m looking forward to diving into RL! Nice to meet all of you.</p>",2019-08-20T01:46:50Z,34,Week 8/18 - 8/24,followup,,jziefl597da3my,jzj63s18um51wm,2019-08-20T01:46:50Z,{},logistics
30,no,"<p></p>
<p>What&#39;s your name?</p>
<p>Nicholas LePar</p>
<p></p>
<p>Where are you from?</p>
<p>All across the Midwest</p>
<p></p>
<p>Where are you now?</p>
<p>Madison, Wisconsin</p>
<p></p>
<p>Why RL?</p>
<p>I am fascinated with the topic and I believe it is one of the more important areas of research for machine learning as the problems it has the potential to solve are exciting.</p>
<p></p>
<p>How far into the program?</p>
<p>First semester, Taking with AI4R as well. Am I crazy?</p>
<p></p>
<p>Where next?</p>
<p>Hopefully a house with my beautiful finance!</p>
<p></p>
<p>Is there anything else you&#39;d like to share?</p>
<p>I have been looking forward to this for a year now! Can&#39;t believe it is finally here.</p>
<p></p>",2019-08-20T02:12:12Z,34,Week 8/18 - 8/24,followup,,jzg6j8k09gm3zm,jzj70edd6d07b2,2019-08-20T02:12:12Z,{},logistics
31,no,"<p>Hi, I&#39;m from Madison too!</p>",2019-08-20T03:07:31Z,34,Week 8/18 - 8/24,feedback,,jque4s9u2b82s0,jzj8zissvuz3d5,2019-08-20T03:07:31Z,{},logistics
32,no,Same here!,2019-08-20T18:15:43Z,34,Week 8/18 - 8/24,feedback,,jc6utnpzmnw1xt,jzk5fhk3klg2jd,2019-08-20T18:15:43Z,{},logistics
33,no,"<p>I am Hazel John and this is my 5th class (BD4H, KBAI, ML, AI4R). I am in the Seattle area, currently on the management track and focus more on architecture and system design than hands on software engineering. But, I have been a software engineer for a long time and I want to keep my skills up to date. I believe that AI and Machine learning will become more and more mainstream and will change the way we work and interact/use technology and I want to part of that change.</p>",2019-08-20T02:17:20Z,34,Week 8/18 - 8/24,followup,,j6pmq1sglzo35i,jzj76zkxnmv398,2019-08-20T02:17:20Z,{},logistics
34,no,<p></p><ul><li>What&#39;s your name? Aaron</li><li>Where are you from? CA</li><li>Where are you now? CA</li><li>Why RL? Because it will have a massive impact on our world in the next century and it is awesome! :)</li><li>How far into the program? 1/2</li></ul>,2019-08-20T02:27:46Z,34,Week 8/18 - 8/24,followup,,gx3c8l7z7r72zl,jzj7ken2a005tm,2019-08-20T02:27:46Z,{},logistics
35,no,<p></p><ul><li>What&#39;s your name? Siyuan Li</li><li>Where are you from? China</li><li>Where are you now? NYC</li><li>Why RL? Incoming new project in work. Will be very helpful</li><li>How far into the program? Fresh new</li></ul>,2019-08-20T02:29:26Z,34,Week 8/18 - 8/24,followup,,jzj77ezwl823lv,jzj7mjjmp05354,2019-08-20T02:29:26Z,{},logistics
36,no,<p>Nice to meet you Siyuan</p>,2019-08-20T19:02:21Z,34,Week 8/18 - 8/24,feedback,,jzk6nge7yl24dc,jzk73gk0oan6t9,2019-08-20T19:02:21Z,{},logistics
37,no,"Hello all, I&#39;m Aida and this is my first class as well. I&#39;m a little bit worried that I&#39;m taking it before Machine Learning, but hopefully I can manage it! Why RL? I&#39;m torn between Robotics and ML specializations, so RL was a natural choice for me as it&#39;s the intersection of both. Oh yeah, I&#39;m originally from Siberia, but live now in New York and I have no clue how to pin any of these areas on the map!",2019-08-20T02:29:40Z,34,Week 8/18 - 8/24,followup,,jzih0fdt4sn1cq,jzj7mv0gjoe39f,2019-08-20T02:29:40Z,{},logistics
38,no,<p>Nice... I took this before ML... Do you have coding experience? Are you afraid of neural networks?</p>,2019-08-20T03:18:06Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj9d52vvx1em,2019-08-20T03:18:06Z,{},logistics
39,no,"<p>Below the search bar in the map, there is a button to &#34;Add marker&#34;. Click on it, then pick your location.</p>
<p>Took me a couple minutes to figure that out as well...</p>
<p>Welcome to the class!</p>",2019-08-20T06:22:45Z,34,Week 8/18 - 8/24,feedback,,jl5wq8mca7o0,jzjfylt0sfl5ve,2019-08-20T06:22:45Z,{},logistics
40,no,"Thanks, Quang. Pined myself!",2019-08-24T15:46:28Z,34,Week 8/18 - 8/24,feedback,,jzih0fdt4sn1cq,jzppuyet96h5hq,2019-08-24T15:46:28Z,{},logistics
41,no,"That&#39;s great to hear, Miguel! I know Python (have been coding in it for 5 years) and know little bit about neural networks. So hopefully this will be sufficient enough!",2019-08-24T15:51:07Z,34,Week 8/18 - 8/24,feedback,,jzih0fdt4sn1cq,jzpq0xpwcx0120,2019-08-24T15:51:07Z,{},logistics
42,no,"<p>What&#39;s your name? -- Yong<br />Where are you from? -- China<br />Where are you now? -- Sunnyvale, CA<br />Why RL? -- I&#39;ve been interesting in RL from all the machine learning I&#39;ve studied.<br />How far into the program? -- 4 classes completed. This is my 5th class.</p>",2019-08-20T02:39:49Z,34,Week 8/18 - 8/24,followup,,jcbkq8bd6l2r,jzj7zwwf7sw3x0,2019-08-20T02:39:49Z,{},logistics
43,no,"<p></p>
<p>What&#39;s your name? Angel Barranco</p>
<p>Where are you from? Panama<br />Where are you now? SF Bay area</p>
<p>Why RL? $$$$$</p>
<p>How far into the program? 1st Course</p>
<p>Where next? $$$$$$$$$</p>
<p>Is there anything else you&#39;d like to share? Nope.</p>
<p></p>",2019-08-20T02:46:01Z,34,Week 8/18 - 8/24,followup,,jzj7y1ofgsro1,jzj87veehtm40d,2019-08-20T02:46:01Z,{},logistics
44,no,"<p>Hi Everyone!</p>
<p>My name is Dale Arbogast.  I grew up in Virginia but currently live in Melbourne Beach, Florida (well, currently in Honolulu but headed back home in a few weeks).  I&#39;m working with big data in my current job and would love to use RL to create some smart predictions/analytics.  This will be my 6th class in the program, counting two transfers then I hope to take Machine Learning and ML4T.  Looking forward to a great semester!</p>
<p></p>",2019-08-20T03:00:56Z,34,Week 8/18 - 8/24,followup,,jl2d544u1wcE,jzj8r20ea6p75q,2019-08-20T03:00:56Z,{},logistics
45,no,"<p></p><ul><li>What&#39;s your name? <strong>Yash Kochar</strong></li><li>Where are you from? <strong>Nagpur, India</strong></li><li>Where are you now? <strong>Madison, Wisconsin</strong></li><li>Why RL? ML specialization - </li><li>How far into the program? <strong>Second semester, 3rd course</strong></li><li>Where next? <strong>Good question :)</strong></li><li>Is there anything else you&#39;d like to share? <strong>Excited to be here</strong></li></ul>",2019-08-20T03:06:34Z,34,Week 8/18 - 8/24,followup,,jque4s9u2b82s0,jzj8yawkyuw2r3,2019-08-20T03:06:34Z,{},logistics
46,no,"<p>“Alice: Would you tell me, please, which way I ought to go from here?<br />The Cheshire Cat: That depends a good deal on where you want to get to.<br />Alice: I don&#39;t much care where.<br />The Cheshire Cat: Then it doesn&#39;t much matter which way you go.<br />Alice: ...So long as I get somewhere.<br />The Cheshire Cat: Oh, you&#39;re sure to do that, if only you walk long enough.”</p>",2019-08-20T03:19:31Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj9eyk2t8o23l,2019-08-20T03:19:31Z,{},logistics
47,no,<p>Welcome!</p>,2019-08-20T03:19:39Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj9f4f6w0r25y,2019-08-20T03:19:39Z,{},logistics
48,no,"<p><a href=""https://youtu.be/AD4b-52jtos?list=PLHBXBaEtFOncgm3N1zRhYubpf9Jv9mzhz&amp;t=1848"" target=""_blank"">https://youtu.be/AD4b-52jtos?list=PLHBXBaEtFOncgm3N1zRhYubpf9Jv9mzhz&amp;t=1848</a></p>",2019-08-20T06:59:06Z,34,Week 8/18 - 8/24,feedback,,jque4s9u2b82s0,jzjh9ckoe7m79j,2019-08-20T06:59:06Z,{},logistics
49,no,"<p>Hey everybody!</p>
<p></p>
<ul><li>What&#39;s your name?
<ul><li>Michael Schock</li></ul>
</li><li>Where are you from?
<ul><li>San Francisco Bay Area</li></ul>
</li><li>Where are you now?
<ul><li>Oakland, CA</li></ul>
</li><li>Why RL?
<ul><li>It&#39;s exciting, especially all the stuff coming out of DeepMind.</li></ul>
</li><li>How far into the program?
<ul><li>This is my 4th class.</li></ul>
</li></ul>",2019-08-20T03:08:56Z,34,Week 8/18 - 8/24,followup,,jdd22f9zpbq5sz,jzj91cmuzfz3bn,2019-08-20T03:08:56Z,{},logistics
50,no,"<p>Hi Michael. Nice to meet you! I am based in SF, working in Oakland.</p>",2019-08-20T21:39:28Z,34,Week 8/18 - 8/24,feedback,,jqy7j43dlz4di,jzkcpigbh18tu,2019-08-20T21:39:28Z,{},logistics
51,no,"<p></p><ul><li>What&#39;s your name? Gerardo Alarcon</li><li>Where are you from? Mexico</li><li>Where are you now? Saint Paul, MN</li><li>Why RL? I would like to learn more about RL from the academic perspective.</li><li>How far into the program? 1st Course</li><li>Where next? Not Sure</li><li>Is there anything else you&#39;d like to share? A little bit scared but ready for the challenge.</li></ul>",2019-08-20T03:12:22Z,34,Week 8/18 - 8/24,followup,,jzj72gbzpx37j0,jzj95rym9125e7,2019-08-20T03:12:22Z,{},logistics
52,no,<p>Welcome to the program.</p>,2019-08-20T03:20:14Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzj9fvm2i8l2i3,2019-08-20T03:20:14Z,{},logistics
53,no,"<p>Hi All,</p>
<p>My name is Jennifer Abdusamad. I am from Kochi, India. Right now I am in Kennesaw, Georgia. This is my first term. I am very much interested in Machine Learning and planning my second career in Machine learning. I wanted to take ML before RL, but could not get through the waitlist. </p>",2019-08-20T03:48:25Z,34,Week 8/18 - 8/24,followup,,jzivix4hli85ch,jzjag4gd57012m,2019-08-20T03:48:25Z,{},logistics
54,no,"<p>Lots of people new to the program, welcome!</p>",2019-08-20T03:56:56Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzjar371y0l6bm,2019-08-20T03:56:56Z,{},logistics
55,no,"<p></p><ul><li>What&#39;s your name?
<ul><li>Miriah Peterson</li></ul>
</li><li>Where are you from?
<ul><li>Oklahoma City </li></ul>
</li><li>Where are you now?
<ul><li>Utah</li></ul>
</li><li>Why RL?
<ul><li>Cause it had the shortest waitlist of the machine learning related classes</li></ul>
</li><li>How far into the program?
<ul><li>first course</li></ul>
</li><li>Where next?
<ul><li>I am working in software and moving into machine learning as work opportunities arise</li></ul>
</li><li>Is there anything else you&#39;d like to share?
<ul><li>I do machine learning in Go and have given several talks on it</li></ul>
</li></ul>",2019-08-20T03:57:27Z,34,Week 8/18 - 8/24,followup,,jzj6p4ln7yi5de,jzjarqt1x6b3rs,2019-08-20T03:57:27Z,{},logistics
56,no,<p><em>&#34;Cause it had the shortest waitlist of the machine learning related classes&#34;</em> &lt;---- You can do better than that!!! ;)</p>,2019-08-20T03:58:34Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzjat6mbqbs1d8,2019-08-20T03:58:34Z,{},logistics
57,no,"<p>yeah, but why make up a story when that was the truth. I am intimidate by RL and would not have taken this class so soon otherwise</p>",2019-08-20T04:08:40Z,34,Week 8/18 - 8/24,feedback,,jzj6p4ln7yi5de,jzjb65tldio1m0,2019-08-20T04:08:40Z,{},logistics
58,no,"<p>Nah, it&#39;ll be fun. We&#39;ll help you like it.</p>
<p></p>
<p>Welcome!</p>",2019-08-20T04:16:24Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzjbg48ndwo494,2019-08-20T04:16:24Z,{},logistics
59,no,<p>thanks</p>,2019-08-20T04:19:21Z,34,Week 8/18 - 8/24,feedback,,jzj6p4ln7yi5de,jzjbjwk5qqg7k,2019-08-20T04:19:21Z,{},logistics
60,no,"<p>Hey Miriah! Looking to possibly make a Slack channel for the UT folks, let me know if you&#39;d be interested.</p>",2019-08-24T18:51:59Z,34,Week 8/18 - 8/24,feedback,,jqmjg3txqw6ji,jzpwhizgqea6r8,2019-08-24T18:51:59Z,{},logistics
61,no,"<p></p><ul><li>What&#39;s your name? Shuvalaxmi Panda</li><li>Where are you from? India</li><li>Where are you now? Bangalore, India</li><li>Why RL? I am interested to learn machine learning. I wanted to take ML but missed the Phase 1 registration. So RL.</li><li>How far into the program? 6th course. CV,KBAI,AI,IHI,EduTech completed.</li><li>Where next? Next subject will be ML.</li><li>Is there anything else you&#39;d like to share? Worried about not having any machine learning background before starting this class, but hopefully will be able to understand.  </li></ul>",2019-08-20T03:59:30Z,34,Week 8/18 - 8/24,followup,,jl2bw1yzg5w1ej,jzjaudv3411md,2019-08-20T03:59:30Z,{},logistics
62,no,<p>No background at all? Hmm.</p>,2019-08-20T04:16:50Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzjbgnrmmiy4g0,2019-08-20T04:16:50Z,{},logistics
63,no,"<p>Yes, just had some introduction while taking CV and AI course. This will be my first learning Machine learning related class. So feeling excited but nervous at the same time. </p>",2019-08-20T16:57:08Z,34,Week 8/18 - 8/24,feedback,,jl2bw1yzg5w1ej,jzk2mf5t7u3164,2019-08-20T16:57:08Z,{},logistics
64,no,<p>Great!</p>,2019-08-20T21:00:43Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzkbbnux91g7i7,2019-08-20T21:00:43Z,{},logistics
65,no,<ul><li>What&#39;s your name? Anurag Tangri</li><li>Where are you from? India </li><li>Where are you now? San Francisco CA</li><li>Why RL? Learnt a bit about RL in ML4T and ML. Would love to deep dive and learn more on how to apply RL at my job.</li><li>How far into the program? 6th course.</li><li>Where next? I switched my career to be a Data Scientist early this year after being in the program for an year and it has been a great journey so far. I want to keep learning and adding to my skills to be a better Data Scientist.</li><li>Is there anything else you&#39;d like to share? I was a Big Data Engineer for almost a decade before switching to AI this year. I love to run. I did two half marathons this year and another one coming up in September end.</li></ul>,2019-08-20T04:09:33Z,34,Week 8/18 - 8/24,followup,,jfzaqnqvtQ1m,jzjb7arbfbd7b0,2019-08-20T04:09:33Z,{},logistics
66,no,"<p>Hello Anurag, I am also in SF.</p>",2019-08-20T21:40:05Z,34,Week 8/18 - 8/24,feedback,,jqy7j43dlz4di,jzkcqaj27pr1ef,2019-08-20T21:40:05Z,{},logistics
67,no,"<p>Hi Alison,</p>
<p>Nice to meet you.</p>",2019-08-23T12:53:04Z,34,Week 8/18 - 8/24,feedback,,jfzaqnqvtQ1m,jzo483j7ajl30t,2019-08-23T12:53:04Z,{},logistics
68,no,"<p>Hi! My name is Blin Kazazi and I live in Grayslake IL where I work from home as the CTO of Veritas Prep. We have been using ML for a couple of years now and I wanted to formalize my learning. RL because I want to learn about all three ML paradigms.  This is my first semester. </p>
<p></p>
<p>Excited to be taking this class with all of you! </p>",2019-08-20T04:14:43Z,34,Week 8/18 - 8/24,followup,,jzjaw2l4l6m5ns,jzjbdy53f6445f,2019-08-20T04:14:43Z,{},logistics
69,no,<p>Welcome to the program!</p>,2019-08-20T04:17:27Z,34,Week 8/18 - 8/24,feedback,,hyx9thiqa6j4nn,jzjbhguj7014tu,2019-08-20T04:17:27Z,{},logistics
70,no,"<p>Hi i&#39;m Isaac, I&#39;m from Melbourne FL. I&#39;m now in San Diego, CA.</p>
<p>I want to move my career more towards ML, and having a good in depth knowledge of the various sub topics will allow me to accomplish that.</p>
<p>This is my first course.</p>
<p>Where to next, who knows honestly...</p>
<p>I&#39;m also in Computational Photography this semester and I&#39;m very excited at the prospect of being able to post cat pics for a grade.</p>",2019-08-20T04:17:56Z,34,Week 8/18 - 8/24,followup,,jzj0p78cvcl57d,jzjbi307ugj74s,2019-08-20T04:17:56Z,{},logistics
71,no,"<p>Hello everyone.</p>
<ul><li>What&#39;s your name? Evgenii Ignatev (also Yevgeniy Ignatyev, name can be pronounced literally or as Eugene)</li><li>Where are you from? Russia, Samara</li><li>Where are you now? Same place, Software Engineer in Big Data</li><li>Why RL? Very exciting and rich domain of knowledge.</li><li>How far into the program? First course.</li><li>Where next? Hard to say.</li><li>Is there anything else you&#39;d like to share? Stay determined fellows.</li></ul>
<div>
<div>
<div></div>
<div style=""font-size:13px;background-color:#ffffff"">
<div>
<p style=""color:#000000""></p>
<p style=""color:#737373""></p>
</div>
</div>
</div>
</div>",2019-08-20T04:30:56Z,34,Week 8/18 - 8/24,followup,,jzhwdil7ssn443,jzjbysujg177jd,2019-08-20T04:30:56Z,{},logistics
72,no,"<p>Hi everyone! I&#39;m from midwest (near Chicago), but live in the SF Bay Area. I&#39;m fascinated by the art of RL. E.g. thinking about how to frame problems as MDPs, especially designing good reward functions. This is my 9th OMSCS course. Will be taking GA next, then (hopefully) graduating!</p>",2019-08-20T04:34:35Z,34,Week 8/18 - 8/24,followup,,ixnwq0s4ozg,jzjc3hkjuvn1d2,2019-08-20T04:34:35Z,{},logistics
73,no,"<p>Hi everyone!  I&#39;m Vahe and currently live in Las Vegas.  I am fascinated by the application of reinforcement learning to games such as chess, poker, and Starcraft.  This is my first class in the program.</p>",2019-08-20T04:43:51Z,34,Week 8/18 - 8/24,followup,,jzfsa4a37jf4aq,jzjcfepuw8f4he,2019-08-20T04:43:51Z,{},logistics
74,no,"<p>Vahe, are you on linkedin? wanted to connect with you. I live in Bayarea, CA.</p>",2019-12-10T15:50:00Z,18,Week 12/8 - 12/14,feedback,,j6ll2xkiDJf,k401ji041qn5jb,2019-12-10T15:50:00Z,{},logistics
